Locations,Latitude,Longitude
"Abreojos, Pta.,",26.0,-113.0
Acambaro,20.0,-100.0
Acaponeta,22.0,-105.0
Acapulco,16.0,-99.0
acatlan,18.0,-98.0
Acayucan,17.0,-94.0
Acuna,29.0,-100.0
"Agua Caliente, Baja Calif",32.0,-116.0
"Agua Caliente, Sinaloa",26.0,-108.0
Agua Hechicero,32.0,-116.0
Agua Prieta,31.0,-109.0
Aguascalientes,21.0,-102.0
Aguascalientes,22.0,-102.0
Ahome,25.0,-109.0
Ajalpan,18.0,-97.0
Alamos,27.0,-109.0
Aldama,23.0,-98.0
Allende,28.0,-100.0
Altamira,22.0,-97.0
Altar,30.0,-111.0
"Altar, Desierto de",30.0,-112.0
Altata,24.0,-108.0
Alvarado,18.0,-95.0
"Alvaro Obregon, Presa",27.0,-109.0
Ameca,20.0,-104.0
Ameca,20.0,-105.0
Amecameca,19.0,-98.0
"Amistad, Presa de la",29.0,-101.0
Anahuac,27.0,-100.0
"Angel de la Guarda, I.,",29.0,-113.0
Apatzingan,19.0,-102.0
Apizaco,19.0,-98.0
Aquiles Serdan,28.0,-105.0
Ario de Rosales,19.0,-102.0
Arizpe,30.0,-110.0
"Arriaga, Chiapas",16.0,-93.0
"Arriaga, San Luis Potosi",21.0,-101.0
Arteaga,18.0,-102.0
Ascension,31.0,-107.0
"Ascension, B. de la",19.0,-87.0
Aserradero,23.0,-105.0
Asuncion Nochixtlan,17.0,-97.0
Autlan,19.0,-104.0
Ayutla,16.0,-99.0
Bacalar,18.0,-87.0
Bacerac,30.0,-108.0
"Baja, Pta.,",29.0,-116.0
Baja California,31.0,-115.0
Baja California,30.0,-115.0
Baja California Sur,25.0,-111.0
Balancan,17.0,-91.0
"Ballenas, Canal de",29.0,-113.0
Balsas,18.0,-99.0
"Banderas, B. de.",20.0,-105.0
Barra de Navidad,19.0,-104.0
Batopilas,27.0,-107.0
Bavispe,29.0,-109.0
Benjamin Hill,30.0,-111.0
Bocoyna,27.0,-107.0
Bolanos,21.0,-104.0
Bolonchenticul,20.0,-89.0
"Boquilla, Presa de la",27.0,-105.0
Boquillas del Carmen,29.0,-102.0
